Customers_Id,Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,DaysSinceLastActivity,Churn
CUST196,2023-06-07 09:27:03-05:30,23,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness,8,0
CUST197,2023-06-07 09:28:09-05:30,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness,8,0
CUST198,2023-06-07 09:32:38-05:30,21,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,3,No,3,3,Competitive prices,Customer service responsiveness,8,0
CUST199,2023-06-07 10:56:11-05:30,23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Often,High shipping costs,Always,Yes,Heavily,Yes,3,Sometimes,3,3,Competitive prices,Product quality and accuracy,8,0
CUST200,2023-06-07 10:57:14-05:30,26,Others,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Yes,Sometimes,High shipping costs,Sometimes,Yes,Occasionally,No,3,No,2,3,User-friendly website/app interface,Product quality and accuracy,8,0
CUST201,2023-06-07 10:58:27-05:30,30,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Never,Yes,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,8,0
CUST202,2023-06-07 11:41:56-05:30,37,Female,Once a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,2,3,Wide product selection,Product quality and accuracy,8,0
CUST203,2023-06-07 11:44:55-05:30,26,Female,Once a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Occasionally,Yes,2,Yes,3,3,Competitive prices,Shipping speed and reliability,8,0
CUST204,2023-06-07 11:46:52-05:30,46,Female,Once a month,others,Sometimes,Rarely,others,First page,5,Yes,Always,High shipping costs,Always,Yes,Rarely,Sometimes,1,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability,8,0
CUST205,2023-06-07 11:47:07-05:30,36,Female,Less than once a month,others,No,Rarely,others,Multiple pages,4,No,Never,others,Never,No,Never,Sometimes,4,Yes,4,4,User-friendly website/app interface,Product quality and accuracy,8,0
CUST206,2023-06-07 11:47:44-05:30,40,Female,Less than once a month,Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,3,Yes,2,2,Wide product selection,Customer service responsiveness,8,0
CUST207,2023-06-07 11:47:44-05:30,41,Male,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,5,Yes,2,3,Wide product selection,Shipping speed and reliability,8,0
CUST208,2023-06-07 11:48:25-05:30,34,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,4,No,3,2,Wide product selection,Scrolling option would be much better than going to next page,8,0
CUST209,2023-06-07 11:54:03-05:30,29,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,No,3,3,User-friendly website/app interface,Product quality and accuracy,8,0
CUST210,2023-06-07 12:01:15-05:30,35,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,Yes,2,Yes,3,3,Product recommendations,Product quality and accuracy,8,0
CUST211,2023-06-07 12:13:39-05:30,32,Male,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Moderately,Yes,3,Yes,1,3,Product recommendations,Reducing packaging waste,8,0
CUST212,2023-06-07 12:23:07-05:30,41,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Filter,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,No,Heavily,Yes,1,Yes,2,2,Wide product selection,Product quality and accuracy,8,0
CUST213,2023-06-07 12:27:12-05:30,35,Female,Few times a month,Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,2,Yes,3,2,Wide product selection,Product quality and accuracy,8,0
CUST214,2023-06-07 12:29:31-05:30,36,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,Yes,2,1,Competitive prices,Reducing packaging waste,8,0
CUST215,2023-06-07 12:30:22-05:30,46,Female,Once a week,others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,5,Sometimes,3,4,Wide product selection,Customer service responsiveness,8,0
CUST216,2023-06-07 12:36:04-05:30,39,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,1,Sometimes,2,3,Wide product selection,Customer service responsiveness,8,0
CUST217,2023-06-07 12:39:08-05:30,48,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Occasionally,Yes,2,Yes,2,1,Wide product selection,Customer service responsiveness,8,0
CUST218,2023-06-07 12:44:27-05:30,25,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,4,Wide product selection,Customer service responsiveness,8,0
CUST219,2023-06-07 12:50:13-05:30,38,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,categories,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers,8,0
CUST220,2023-06-07 13:00:08-05:30,26,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,categories,Multiple pages,1,Maybe,Sometimes,others,Sometimes,No,Occasionally,Sometimes,1,Yes,3,3,Competitive prices,Product quality and accuracy,8,0
CUST221,2023-06-07 13:00:09-05:30,40,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,4,Yes,Sometimes,High shipping costs,Often,Yes,Rarely,Sometimes,3,No,4,3,User-friendly website/app interface,Product quality and accuracy,8,0
CUST222,2023-06-07 13:04:07-05:30,49,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,Yes,Heavily,Yes,3,Yes,3,2,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,8,0
CUST223,2023-06-07 13:05:41-05:30,30,Male,Less than once a month,Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,3,Yes,4,1,Wide product selection,Product quality and accuracy,8,0
CUST224,2023-06-07 13:25:26-05:30,24,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,High shipping costs,Sometimes,No,Moderately,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness,8,0
CUST225,2023-06-07 13:33:51-05:30,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,8,0
CUST226,2023-06-07 13:40:37-05:30,27,Male,Once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,4,User-friendly website/app interface,Product quality and accuracy,8,0
CUST227,2023-06-07 13:49:06-05:30,28,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,5,Yes,2,2,Competitive prices,Product quality and accuracy,8,0
CUST228,2023-06-07 14:09:49-05:30,23,Male,Less than once a month,others,No,Few times a week,Keyword,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Often,Yes,Moderately,Sometimes,2,Sometimes,3,2,User-friendly website/app interface,Product quality and accuracy,8,0
CUST229,2023-06-07 14:11:50-05:30,46,Female,Few times a month,Home and Kitchen,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,Found a better price elsewhere,Often,No,Occasionally,Yes,1,Yes,2,2,Product recommendations,Product quality and accuracy,8,0
CUST230,2023-06-07 14:16:43-05:30,27,Male,Less than once a month,others,Sometimes,Rarely,Keyword,First page,2,Maybe,Rarely,others,Often,No,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,8,0
CUST231,2023-06-07 14:19:05-05:30,20,Female,Once a month,Home and Kitchen,No,Rarely,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,3,Sometimes,2,3,Competitive prices,Product quality and accuracy,8,0
CUST232,2023-06-07 14:22:14-05:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,4,Yes,Rarely,Changed my mind or no longer need the item,Sometimes,No,Heavily,Yes,4,Yes,3,4,User-friendly website/app interface,Shipping speed and reliability,8,0
CUST233,2023-06-07 14:23:02-05:30,29,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,Yes,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Customer service responsiveness,8,0
CUST234,2023-06-07 14:33:56-05:30,29,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,others,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Yes,1,Yes,1,3,Wide product selection,Product quality and accuracy,8,0
CUST235,2023-06-07 14:40:30-05:30,57,Female,Few times a month,Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,4,Yes,3,3,User-friendly website/app interface,Customer service responsiveness,8,0
CUST236,2023-06-07 15:13:52-05:30,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,4,Yes,3,1,User-friendly website/app interface,Customer service responsiveness,8,0
CUST237,2023-06-07 15:56:01-05:30,23,Female,Few times a month,Beauty and Personal Care;others,No,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Yes,1,Sometimes,3,2,Product recommendations,Product quality and accuracy,8,0
CUST238,2023-06-07 15:58:52-05:30,15,Male,Once a month,Clothing and Fashion;others,No,Few times a week,Keyword,First page,1,Yes,Sometimes,others,Rarely,No,Heavily,Sometimes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy,8,0
CUST239,2023-06-07 16:10:33-05:30,39,Male,Less than once a month,Clothing and Fashion;others,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy,8,0
CUST240,2023-06-07 16:46:12-05:30,23,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,4,3,User-friendly website/app interface,Reducing packaging waste,8,0
CUST241,2023-06-07 17:26:20-05:30,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,High shipping costs,Rarely,Yes,Heavily,Yes,3,Yes,3,3,Competitive prices,Shipping speed and reliability,8,0
CUST242,2023-06-07 17:58:12-05:30,37,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste,8,0
CUST243,2023-06-07 18:15:10-05:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,3,No,2,2,Product recommendations,Reducing packaging waste,8,0
CUST244,2023-06-07 18:16:51-05:30,23,Female,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Rarely,Sometimes,3,No,3,3,User-friendly website/app interface,Reducing packaging waste,8,0
CUST245,2023-06-07 18:17:42-05:30,23,Female,Once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Filter,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,3,No,3,3,Product recommendations,Reducing packaging waste,8,0
CUST246,2023-06-07 18:18:37-05:30,23,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,3,No,3,2,Product recommendations,Customer service responsiveness,8,0
CUST247,2023-06-07 18:20:00-05:30,21,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,4,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Moderately,No,2,No,2,4,Competitive prices,Customer service responsiveness,8,0
CUST248,2023-06-07 18:20:53-05:30,21,Female,Once a week,Clothing and Fashion,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,No,4,Yes,2,1,Product recommendations,Customer service responsiveness,8,0
CUST249,2023-06-07 18:28:35-05:30,34,Female,Once a week,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,Yes,Occasionally,No,2,No,3,2,Competitive prices,Customer service responsiveness,8,0
CUST250,2023-06-07 18:29:14-05:30,23,Female,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,No,3,No,3,1,Product recommendations,Customer service responsiveness,8,0
CUST251,2023-06-07 18:29:53-05:30,23,Female,Once a week,Beauty and Personal Care,No,Few times a month,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Sometimes,3,No,3,2,Product recommendations,Reducing packaging waste,8,0
CUST252,2023-06-07 18:30:43-05:30,23,Prefer not to say,Few times a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,3,No,3,1,Competitive prices,Customer service responsiveness,8,0
CUST253,2023-06-07 18:31:23-05:30,27,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Rarely,Sometimes,3,No,2,1,Wide product selection,Customer service responsiveness,8,0
CUST254,2023-06-07 19:17:13-05:30,23,Female,Less than once a month,others,No,Rarely,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Occasionally,Sometimes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy,8,0
CUST255,2023-06-07 20:20:23-05:30,47,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Always,No,Heavily,Yes,5,Sometimes,3,2,Product recommendations,Product quality and accuracy,8,0
CUST256,2023-06-07 20:41:53-05:30,54,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,Yes,Heavily,Yes,1,Yes,3,3,Wide product selection,Product quality and accuracy,8,0
CUST257,2023-06-07 21:16:59-05:30,46,Prefer not to say,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,Multiple pages,4,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,3,No,3,3,User-friendly website/app interface,Reducing packaging waste,8,0
CUST258,2023-06-07 21:17:50-05:30,38,Female,Once a month,others,No,Few times a week,categories,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Rarely,No,Moderately,Yes,3,No,1,3,Competitive prices,Customer service responsiveness,8,0
CUST259,2023-06-07 21:18:29-05:30,45,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Always,Yes,Moderately,No,1,No,2,2,Product recommendations,Reducing packaging waste,8,0
CUST260,2023-06-07 21:18:55-05:30,34,Male,Once a week,Clothing and Fashion,Yes,Few times a week,others,Multiple pages,4,No,Rarely,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,4,No,3,2,Product recommendations,Reducing packaging waste,8,0
CUST261,2023-06-07 21:19:32-05:30,44,Female,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,5,Sometimes,4,3,Competitive prices,Customer service responsiveness,8,0
CUST262,2023-06-07 21:21:10-05:30,23,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,No,2,No,3,3,Competitive prices,Customer service responsiveness,8,0
CUST263,2023-06-07 21:21:50-05:30,32,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,First page,3,No,Often,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,4,No,4,5,Product recommendations,Customer service responsiveness,8,0
CUST264,2023-06-07 21:22:24-05:30,23,Female,Once a week,Beauty and Personal Care,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Always,Changed my mind or no longer need the item,Always,Yes,Occasionally,Yes,2,No,4,3,Product recommendations,Product quality and accuracy,8,0
CUST265,2023-06-07 21:23:39-05:30,23,Female,Few times a month,Clothing and Fashion,No,Few times a week,Filter,First page,2,Maybe,Always,Found a better price elsewhere,Often,Yes,Rarely,No,2,No,3,2,Product recommendations,Customer service responsiveness,8,0
CUST266,2023-06-07 21:23:41-05:30,23,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy,8,0
CUST267,2023-06-07 21:35:08-05:30,19,Female,Few times a month,Clothing and Fashion,No,Few times a week,categories,Multiple pages,2,Yes,Often,Found a better price elsewhere,Always,Yes,Moderately,Yes,4,Yes,2,2,User-friendly website/app interface,Customer service responsiveness,8,0
CUST268,2023-06-07 21:35:23-05:30,23,Female,Less than once a month,Beauty and Personal Care;others,No,Few times a month,Keyword,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Always,No,Heavily,Yes,5,No,4,1,Wide product selection,Shipping speed and reliability,8,0
CUST269,2023-06-07 21:53:52-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Always,Yes,Moderately,No,2,Yes,3,3,Product recommendations,Customer service responsiveness,8,0
CUST270,2023-06-07 21:54:24-05:30,34,Male,Once a week,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,3,No,3,3,Product recommendations,Customer service responsiveness,8,0
CUST271,2023-06-07 21:54:56-05:30,34,Female,Once a week,Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Rarely,Sometimes,3,No,2,4,Product recommendations,Reducing packaging waste,8,0
CUST272,2023-06-07 22:07:42-05:30,34,Female,Once a month,Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,4,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,Sometimes,3,No,4,4,Wide product selection,Product quality and accuracy,8,0
CUST273,2023-06-07 22:09:17-05:30,23,Prefer not to say,Few times a month,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,3,No,Often,Found a better price elsewhere,Often,No,Occasionally,No,2,Yes,2,3,Wide product selection,Customer service responsiveness,8,0
CUST274,2023-06-07 22:09:54-05:30,45,Female,Once a week,Clothing and Fashion,Sometimes,Rarely,Keyword,Multiple pages,2,Maybe,Always,High shipping costs,Rarely,Yes,Moderately,No,3,Sometimes,2,3,Competitive prices,Customer service responsiveness,8,0
CUST275,2023-06-07 22:10:26-05:30,23,Female,Once a week,Groceries and Gourmet Food,Yes,Few times a week,Filter,First page,3,No,Always,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Sometimes,2,No,2,1,Competitive prices,Shipping speed and reliability,8,0
CUST276,2023-06-07 22:10:58-05:30,34,Female,Once a week,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,First page,2,No,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,No,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,8,0
CUST277,2023-06-07 22:11:28-05:30,37,Female,Once a week,Beauty and Personal Care,No,Few times a week,categories,First page,2,Yes,Always,Found a better price elsewhere,Often,No,Occasionally,No,3,No,3,3,Product recommendations,Reducing packaging waste,8,0
CUST278,2023-06-07 22:16:22-05:30,34,Female,Once a week,Clothing and Fashion,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,No,3,2,Competitive prices,Customer service responsiveness,8,0
CUST279,2023-06-07 22:16:54-05:30,23,Others,Once a month,Groceries and Gourmet Food,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Never,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,8,0
CUST280,2023-06-07 22:17:40-05:30,45,Female,Once a week,others,No,Rarely,Keyword,Multiple pages,2,No,Sometimes,others,Often,No,Occasionally,No,3,No,3,3,User-friendly website/app interface,Reducing packaging waste,8,0
CUST281,2023-06-07 22:20:09-05:30,26,Male,Less than once a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,5,Yes,Rarely,Found a better price elsewhere,Rarely,Yes,Never,Yes,3,Yes,1,3,Wide product selection,User interface ,8,0
CUST282,2023-06-07 22:21:00-05:30,34,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,2,No,Often,Changed my mind or no longer need the item,Often,No,Moderately,No,2,No,2,4,Competitive prices,Customer service responsiveness,8,0
CUST283,2023-06-07 22:35:06-05:30,21,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,No,3,No,3,5,Product recommendations,Product quality and accuracy,8,0
CUST284,2023-06-07 22:38:51-05:30,23,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Often,No,Moderately,No,4,Sometimes,3,3,Product recommendations,Customer service responsiveness,8,0
CUST285,2023-06-07 22:39:21-05:30,41,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,3,Yes,3,4,Wide product selection,Irrelevant product suggestions,8,0
CUST286,2023-06-07 22:40:10-05:30,32,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,4,Maybe,Rarely,Found a better price elsewhere,Sometimes,No,Occasionally,No,3,No,3,3,Competitive prices,Customer service responsiveness,8,0
CUST287,2023-06-07 22:41:10-05:30,23,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Rarely,Found a better price elsewhere,Sometimes,No,Occasionally,No,4,Sometimes,3,3,Competitive prices,Shipping speed and reliability,8,0
CUST288,2023-06-07 22:42:24-05:30,22,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Always,No,Occasionally,Sometimes,4,Sometimes,3,4,Product recommendations,Product quality and accuracy,8,0
CUST289,2023-06-07 22:44:42-05:30,48,Female,Multiple times a week,Clothing and Fashion,Yes,Rarely,Keyword,First page,4,No,Rarely,High shipping costs,Rarely,No,Moderately,No,1,Sometimes,2,2,Wide product selection,Shipping speed and reliability,8,0
CUST290,2023-06-07 22:58:04-05:30,32,Male,Few times a month,Groceries and Gourmet Food,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Rarely,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,8,0
CUST291,2023-06-07 22:59:06-05:30,28,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,High shipping costs,Sometimes,No,Occasionally,Sometimes,3,No,3,3,Product recommendations,Reducing packaging waste,8,0
CUST292,2023-06-07 23:00:15-05:30,23,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,First page,3,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,No,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,8,0
CUST293,2023-06-07 23:01:42-05:30,23,Female,Few times a month,Beauty and Personal Care,No,Few times a week,categories,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Always,Yes,Occasionally,No,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,8,0
CUST294,2023-06-07 23:02:45-05:30,26,Female,Multiple times a week,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,4,Sometimes,3,3,Competitive prices,Reducing packaging waste,8,0
